Instant,WeekDay,Hour,Operators,LHDs,56 W,58 E,58 R,60 E,60 W,Buckets
368,2,13,13,0,0,0,0,1,0,6
369,2,14,9,0,0,0,0,0,0,0
370,2,15,16,3,0.09,0,0,0.91,0,11
371,2,16,16,4,0.21,0.14,0.1,0.55,0,42
372,2,17,16,5,0.21,0.3,0.15,0.34,0,47
373,2,18,16,5,0.21,0,0.12,0.67,0,43
374,2,19,17,5,0.44,0,0.22,0.33,0,9
375,2,20,17,5,0.48,0,0.1,0.43,0,21
376,2,21,16,4,0.24,0,0,0.76,0,17
377,2,22,23,0,1,0,0,0,0,1
378,2,23,13,3,0.57,0,0.14,0.29,0,7
379,3,0,13,4,0.12,0,0.29,0.59,0,17
380,3,1,13,3,0,0,0.29,0.71,0,17
381,3,2,13,3,0,0,0.4,0.5,0.1,10
382,3,3,13,2,0.6,0,0.4,0,0,5
383,3,4,13,3,0.3,0,0,0.5,0.2,20
384,3,5,13,0,1,0,0,0,0,2
385,3,6,9,0,0,0,0,0,0,0
386,3,7,12,3,0.17,0,0.5,0.33,0,12
387,3,8,12,3,0.38,0.08,0.54,0,0,13
388,3,9,12,4,0.3,0,0.05,0.6,0.05,20
389,3,10,12,5,0.23,0,0.18,0.5,0.09,22
390,3,11,12,2,0,0,0,0.54,0.46,13
391,3,12,12,4,0.12,0,0,0.65,0.23,26
392,3,13,12,4,0.18,0,0,0.76,0.06,17
393,3,14,12,0,0,0,0,0,0,0
394,3,15,15,2,0,0,0,1,0,7
395,3,16,15,4,0,0,0.03,0.94,0.03,32
396,3,17,14,5,0.13,0,0,0.84,0.03,38
397,3,18,14,4,0.17,0,0,0.75,0.08,36
398,3,19,15,5,0.05,0.07,0,0.77,0.11,56
399,3,20,15,4,0.17,0.38,0,0.45,0,42
400,3,21,15,0,0,0,0,0,0,0
401,3,22,8,0,0,0,0,0,0,0
402,3,23,13,0,0,1,0,0,0,4
403,4,0,13,6,0.08,0.19,0,0.69,0.04,26
404,4,1,13,5,0.14,0,0,0.76,0.11,37
405,4,2,13,5,0.17,0.02,0,0.74,0.07,42
406,4,3,13,5,0,0.17,0,0.8,0.03,30
407,4,4,13,2,0,0.17,0,0.83,0,29
408,4,5,13,2,0,0,0,1,0,10
409,4,6,14,0,0,0,0,0,0,0
410,4,7,13,0,0,0,0,0,0,0
411,4,8,14,3,0.67,0,0,0.33,0,6
412,4,9,14,4,0.47,0,0.05,0.42,0.05,19
413,4,10,14,3,0,0,0,0.81,0.19,16
414,4,11,14,4,0,0.06,0,0.88,0.06,16
415,4,12,14,6,0,0.29,0,0.67,0.04,51
416,4,13,14,4,0,0.24,0,0.76,0,21
417,4,14,11,0,0,0,0,0,0,0
418,4,15,17,3,0,0.5,0,0.5,0,14
419,4,16,17,2,0,0.16,0,0.84,0,19
420,4,17,17,3,0,0.24,0,0.74,0.03,38
